| Podkategoria                        | Usługi                                                                                                                                         |
| ----------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- |
| **Kontrole sezonowe**               | Przegląd podstawowy auta; Kontrola auta przed trasą; Kontrola auta przed zimą; Kontrola auta przed wakacjami; Kontrola auta po długim postoju  |
| **Przeglądy techniczne**            | Przegląd okresowy; Przygotowanie auta do przeglądu (ITV); Kontrola układów bezpieczeństwa; Sprawdzenie stanu opon; Kontrola stanu technicznego |
| **Kontrola stanu eksploatacyjnego** | Sprawdzenie luzów zawieszenia; Sprawdzenie układu kierowniczego; Sprawdzenie układu hamulcowego; Sprawdzenie poziomu wszystkich płynów         |
| Podkategoria         | Usługi                                                                                                                                                          |
| -------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Wymiany okresowe** | Wymiana oleju; Wymiana filtra oleju; Wymiana filtra powietrza; Wymiana filtra kabinowego; Wymiana filtra paliwa; Kompleksowa wymiana oleju i wszystkich filtrów |
| **Filtry dodatkowe** | Wymiana filtra LPG/CNG; Wymiana filtra DPF/FAP (elementu wymienialnego)                                                                                         |
| **Czyszczenie**      | Czyszczenie filtra DPF/EGR; Płukanie układu olejowego; Czyszczenie układu dolotowego                                                                            |
| Podkategoria          | Usługi                                                                                                                          |
| --------------------- | ------------------------------------------------------------------------------------------------------------------------------- |
| **Serwis opon**       | Wymiana opon (komplet); Wymiana opon run-flat; Wyważanie kół; Naprawa opony; Wulkanizacja; Przechowywanie opon; Wymiana wentyla |
| **Felgi i geometria** | Prostowanie felgi; Regeneracja felg; Malowanie felg; Geometria kół; Zbieżność kół; Ustawienie geometrii 3D                      |
| **Koła kompletne**    | Montaż/demontaż kół; Wymiana kół na felgach aluminiowych/stalowych                                                              |
| Podkategoria          | Usługi                                                                                                                                                                                  |
| --------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Wymiany elementów** | Wymiana klocków hamulcowych (przednie/tylne); Wymiana tarcz hamulcowych (przednie/tylne); Wymiana klocków i tarcz hamulcowych; Wymiana bębnów i szczęk; Wymiana szczęk hamulca ręcznego |
| **Obsługa i naprawy** | Wymiana płynu hamulcowego; Odpowietrzanie układu hamulcowego; Regeneracja zacisku hamulcowego; Naprawa hamulca ręcznego; Wymiana przewodów hamulcowych; Wymiana cylinderków hamulcowych |
| **Diagnostyka**       | Kontrola układu hamulcowego; Diagnostyka ABS/ESP; Diagnostyka zużycia tarcz i klocków                                                                                                   |
| Podkategoria                    | Usługi                                                                                                                                                                                                                                                                          |
| ------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Diagnostyka komputerowa**     | Odczyt błędów; Kasowanie błędów; Diagnostyka kontrolki „check engine”; Diagnostyka komputerowa pełna; Diagnostyka systemów ABS/ESP/SRS; Diagnostyka DPF/EGR                                                                                                                     |
| **Diagnostyka specjalistyczna** | Diagnostyka silnika (kompresja, zapłon); Diagnostyka układu paliwowego; Diagnostyka układu chłodzenia; Diagnostyka układu ładowania; Diagnostyka systemów hybrydowych/elektrycznych; Diagnostyka układu start-stop; Diagnostyka elektryczna; Diagnostyka problemów z odpalaniem |
| **Diagnostyka przed zakupem**   | Diagnostyka komputerowa przed zakupem; Kontrola lakieru i grubości; Kontrola zawieszenia; Oględziny karoserii; Jazda próbna z mechanikiem                                                                                                                                       |
| Podkategoria            | Usługi                                                                                                                                                                         |
| ----------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| **Naprawy główne**      | Naprawa/rewizja silnika; Wymiana rozrządu (pasek/łańcuch); Wymiana uszczelki pod głowicą; Wymiana pierścieni; Szlifowanie wału korbowego; Wymiana panewek; Wymiana pompy oleju |
| **Układ spalania**      | Wymiana świec zapłonowych; Wymiana świec żarowych; Wymiana cewek zapłonowych; Regulacja zaworów; Wymiana kabli zapłonowych                                                     |
| **Czyszczenie układów** | Czyszczenie przepustnicy; Czyszczenie zaworu EGR; Czyszczenie DPF/FAP; Czyszczenie wtryskiwaczy; Dekarbonizacja silnika (hydrogenizacja)                                       |
| **Chłodzenie**          | Wymiana chłodnicy; Wymiana termostatu; Wymiana pompy wody; Sprawdzenie szczelności układu chłodzenia; Płukanie układu chłodzenia                                               |
| Podkategoria                | Usługi                                                                                                                                                                                                                                                 |
| --------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
